num_hidden_dense,num_neurons,loss,val_loss,uuid
30,38,1.565173700024995e-05,5.175602982490091e-06,0f461d84-32fb-4165-800e-8e21e2638c9e
43,56,0.49889660543865627,0.5054586279392242,0251b300-9f54-46d1-bef0-0d743a4ff3b8
44,2,0.4988766984144847,0.5054759025573731,1be9c55b-9ec4-49e4-8f2c-b2580e30ea99
9,99,1.3841214046503107e-05,8.611922658019466e-06,b6bd3774-09fa-4fe0-a570-ebdb9515de99
33,84,0.49811744266086155,0.4278286933898926,47e862a0-94b4-4ea7-a198-cc0d1c619ade
38,48,0.49905619647767807,0.5053878426551819,08d52576-1b69-4f96-9b16-2ec4619fdbd8
29,71,2.8264830592282428e-05,1.4049690180399921e-05,a0e36b00-c7a5-4718-8c72-c3d69162b39b
8,66,8.421477603709112e-06,1.2074628539266996e-05,1c424fd8-31f5-44fd-b73d-f82a60840ead
5,20,2.3243039096188215e-05,1.1744328112399671e-05,d747b7f9-8b88-4c03-b0ed-54348fa5b9ac
47,47,0.4990235376358032,0.5053345012664795,15b9c803-c039-452e-b23f-f8ea4144b86e
30,62,2.6550786747571288e-05,7.1240928446059115e-06,23f35508-637b-4ea3-a8f0-4ba475fae8be
38,1,0.49885688384373983,0.505517338514328,62e67ab7-282b-4a55-9eee-60d0618f1d30
49,65,0.49901270574993556,0.5054576992988586,53f38f9d-22f2-4fd0-972b-0b771eb6b9e9
45,40,0.4990565168857575,0.5053820085525512,a586ce3d-fcf2-4738-af57-305a00e425d6
27,7,0.49920334815979006,0.5055064797401428,4190f829-2554-49c4-827e-b4fc36a20f18
37,17,0.4989253542158339,0.5055215203762055,c6e615bf-418b-478d-add5-8ee0f1b42fe3
38,44,8.06660250075058e-05,4.7919423668645325e-05,8ce0d946-36c3-4dac-9d49-f126e1c72802
36,6,0.49910315142737494,0.5055216515064239,c60ce20d-aed0-446b-af75-6fecf44b06d1
44,85,0.49890444954236346,0.5054236376285552,abd579af-7345-4425-b911-365ca7576dea
39,84,0.4995517596933577,0.505273871421814,3e719114-2deb-413b-890e-16115eb1e2f1
11,41,1.3245619244723154e-05,3.908228372893063e-06,96e4058c-33e2-4bfa-9108-f37856d6ed7f
5,62,4.105233151550338e-06,2.1218201447936737e-06,5cb2861e-9d30-4bea-8d01-dad0649253e8
40,45,0.49898842255274456,0.5053857588768005,19e5e295-e6c7-4032-812e-9e01908dedbf
30,18,1.179779267759942e-05,1.3868660244042984e-05,fc463722-1a47-43ed-b7b9-8490cbef4778
46,28,0.49899538331561616,0.5053538298606872,86755067-f9c3-40a8-9891-e5159c6f6d7a
30,94,2.4616839594576354e-05,1.226859138114378e-05,0f19707b-2c58-431c-875c-c3b254451cc6
13,88,1.6142661067735592e-06,2.0227289405738704e-06,3f31a1cd-be7c-44b7-b184-ae06c479a39e
7,42,3.23083457220087e-05,5.518881316675106e-06,6cdec1be-9d64-4430-bfec-671aa0d4d4e6
2,85,0.007853875959085094,0.007082348442636431,179d2005-b879-4b0f-869e-9fbd9c9e314f
35,73,0.49909699996312457,0.505430383682251,b14acdc8-b72e-45e8-99cb-4fca52b7fd71
19,99,2.304223054226087e-06,1.365033940601279e-06,5cb80fb9-a4c7-4023-8430-9561f80c07e1
43,44,0.498877053393258,0.5054750418663025,54af6352-c544-4629-bc0c-2a103db7e614
14,12,4.517003833219254e-05,2.2304803860606625e-05,2c4fb739-1801-49de-88e6-4a703a250e04
20,69,3.641847635865108e-06,2.514715224606334e-06,efda047d-8d6c-44f8-8f19-a87ffdf22907
39,56,0.4989607961972555,0.505380437374115,c2bec8d1-8185-4567-874f-3f828b7ad6e3
27,27,6.0060462582340635e-05,7.925718800834148e-06,e1ab24bf-6284-4fbb-a91e-78d870b70223
4,74,8.353981417409766e-06,9.638625997467897e-06,358c9b5f-d22e-4315-b063-29b64fbb112d
7,71,2.252006774041446e-05,1.0642720953910611e-05,42e3cfb9-8e71-4600-b5ef-1357ae171800
13,94,4.831164909167758e-06,1.6630129834993568e-06,bda09962-1992-41fd-ada8-f39f1ff6bc58
49,47,0.49903459694650437,0.505314279794693,976ae112-33e4-41c3-816f-22852a6f839b
16,19,7.251565637286856e-06,4.473505669011502e-06,86eb30f2-bb42-4dea-9621-7884673cef73
13,77,9.19464018604938e-06,1.7532763922645245e-06,8c9c2e9a-09b0-4959-bec0-ced5d7e95bb6
22,20,1.4063204240149692e-05,3.196984789610724e-06,0fd70217-77d0-48cb-bc47-86b8784a032c
30,76,2.4806888033910783e-05,1.35809820585564e-05,8468e1f5-9b59-43d8-9275-52f0d483eda4
22,40,6.18144739645585e-06,3.6364831612445414e-06,14bde585-2c5b-487a-b767-7cd97ac2b954
29,21,1.1361403759716874e-05,4.553974522423232e-06,d03e1697-1165-4518-b00c-0481b500db05
28,28,1.4901009316316858e-05,1.5472634695470335e-05,d9373ae3-5a0a-4770-80c1-9df94b4e2d46
31,71,0.00023650034052682007,3.203127005690476e-05,e57629b7-8b62-4ff6-b926-2f8d13ffe977
32,71,0.0001791386035216015,1.8701313892961478e-05,a39e0653-45e7-4c93-93d1-709c2304aac4
49,69,0.4990622587998708,0.505287172794342,a855e2b2-ae15-4644-bf6f-1841718267c5
