batch_size,dropout_frac,epochs,learning_rate,num_hidden_dense,num_neurons,loss,mean_squared_error,val_loss,val_mean_squared_error,uuid
8.0,0.15077019756837215,460.0,0.06969613722045415,13.0,17.0,0.5005461115969552,,0.5040459227561951,,9c6453bd-f58e-4684-aff6-f73f32edf9b2
2.0,0.7138727124827741,53.0,0.010492317264627675,7.0,29.0,0.49950984843696156,,0.5111056334525347,,fc338095-dfcf-4253-835f-00e8b028ab7f
32.0,0.6705384108345714,30.0,0.00022773405035825668,47.0,99.0,9265.950403645833,,0.5207370173931122,,4c5a2669-f8cb-488a-8c5d-c8fa0581e701
64.0,0.06167209127402465,435.0,0.0004623183345710495,12.0,3.0,0.30462599641746946,,0.1792329102754593,,13f8271b-7098-43c1-818a-7028973ed39b
16.0,0.1270504550433167,23.0,0.034258469823980627,45.0,97.0,11.723718966113196,,0.5020584177970886,,9143d605-20bb-4d84-9d0e-5399b601c9d8
128.0,0.13092598556141571,38.0,0.00011001189085826749,37.0,11.0,0.49378213511572944,,0.5505115389823914,,85a27772-2770-4c93-b6b1-1017310ea033
64.0,0.12047719265726237,430.0,0.0702444314734146,5.0,39.0,0.09385516266028086,,0.036198146492242816,,bd6a350b-7c24-4d3b-80ee-441d9065d180
32.0,0.4995538184414552,477.0,0.00012073291578508823,43.0,74.0,0.5404256497489082,,0.5512600743770599,,f23ac997-67e7-48e9-abf7-48505e19b3d6
8.0,0.4579886887006912,98.0,0.059646883939449995,1.0,17.0,0.2227458917432361,,0.18182361423969268,,775dc2bf-2e61-4dac-b4e3-c7212014bfdf
16.0,0.7043393257731192,210.0,0.00036485531724999334,2.0,92.0,0.15357590085930295,,0.10873249650001526,,93ca2df5-f178-48aa-85c1-443e92c67c1a
128.0,0.24531702663409083,21.0,0.0507310910596855,44.0,9.0,0.5007315815819634,,0.5468664765357971,,37153737-9499-4482-8418-ca2bc3fd4362
2.0,0.7479160740002316,57.0,0.0001426771035921394,38.0,97.0,22437.605242403257,,0.5489234563522041,,13f7187d-73af-4470-9628-6b540e6d8fad
16.0,0.38616918861900196,141.0,0.03960386697471011,1.0,94.0,0.2014166572358873,,0.1818031620979309,,cc3662cf-57bb-432e-9d4c-c966f7c91232
64.0,0.1068843631361856,348.0,0.09841773427782499,12.0,98.0,1.40151069800059,,0.5472039675712586,,7646563f-5468-4da3-9107-eb9998807fde
16.0,0.7349775938564663,425.0,0.048415848972595966,6.0,83.0,0.49796170565817094,,0.5468684804439544,,cdb027f9-bdc6-4040-9a9b-cd9fe5c7837d
32.0,0.1072027070962348,489.0,0.0012248709099696071,7.0,65.0,0.024761754870414734,,0.008863577842712403,,a218f315-0906-4ae5-8f91-d55fabbd8ac2
32.0,0.2987843919873192,482.0,0.00014764590242554598,8.0,82.0,0.38359971900781,,0.4721509790420532,,ca19cc6c-87c4-4bb4-b504-e38b9a9fc271
16.0,0.22875939224059955,443.0,0.012054082969041592,2.0,36.0,0.08251407368315591,,0.020406158566474916,,cb7499d2-9b40-4841-babd-ad8a7ae0f698
2.0,0.1966100828983549,492.0,0.0002854649189256641,49.0,61.0,0.49350183195874303,,0.5494541018083692,,d406e2a0-06f1-4c03-a347-3adbf86c81b4
128.0,0.052389104351836295,448.0,0.0005563507665389988,3.0,62.0,0.004841114899350537,,0.0002700831100810319,,74f94191-c00a-4551-a574-52a9179fc96d
128.0,0.5254316639871741,313.0,0.00012733445150088374,1.0,28.0,1.4892694309022692,,1.383229374885559,,d5c2fe9d-e352-49da-89c6-dc1769d279d4
128.0,0.07787145212533872,377.0,0.0003839543251700373,10.0,98.0,0.043070692734585865,,0.028482848778367043,,fa3299d6-21da-41ea-8d8c-34dba050b04b
128.0,0.1442115166635885,478.0,0.0003211900053034227,43.0,54.0,0.4955219939019945,,0.5479074120521545,,0c312482-ef40-4106-b43a-5ee818499e8a
2.0,0.6276294179950438,465.0,0.0008765837880820749,43.0,49.0,0.4937070188842093,,0.5495526549126953,,c38c8cf3-761b-4604-9e79-803f408ade2d
32.0,0.7100554568487516,25.0,0.03493123760801976,6.0,58.0,0.5178012855847677,,0.425058479309082,,a3e9ef3a-30c3-4682-83ee-2fc2977f00fc
2.0,0.667426280262884,335.0,0.0001633454130539621,10.0,6.0,3.457884640817841,,0.42552061311900613,,9c4da84e-e69a-41a9-b2dc-f709491e6cdd
128.0,0.1733505806524286,29.0,0.00013058158879805906,2.0,63.0,0.4053233729468452,,0.3938432037830353,,3f8f8342-6280-4212-bc5f-9226bd35b99b
4,0.7129930740844833,15,0.0001702957640399874,2,17,0.3969118789003955,,0.3160074734687805,,374a6712-f2e6-40e9-ac16-f4b7d4a67a6b
128,0.05756985672937116,29,0.00023706268536739984,48,52,0.49852113167444867,,0.5083938837051392,,42ae4a92-e631-4ab9-a7f6-1c43d0e16a6b
8,0.30664113987549513,458,0.0393049265192168,48,93,243211371429974.34,,0.5140775382518769,,1972b386-7fa7-4585-aa61-82c2fb35d458
64,0.06609466933138394,404,0.006705859425990331,1,11,0.19944558196597628,,0.17793726086616515,,fd3e1358-7d9a-42fe-a88d-71043e7cb51f
